word,reason,index
高興,無用例,2
不要緊、沒關係,無用例,3
伊因為這擺旅行非常滿意，感覺物超所值。,無用例,10
謝謝,無用例,16
初戀,無用例,17
不行、不能夠,無用例,18
失去親人後，伊足傷心的。,無用例,22
伊面上懸懸，看起來足快樂的。,無用例,23
是怎樣,無用例,26
伊珍惜每一分每一秒的時間，骨力學習。,無用例,27
誇獎,無用例,30
不好意思、對不起、抱歉、害羞、難為情,無用例,34
欲上台演講進前，伊感覺誠緊張。,無用例,35
因為思念老爸，伊逐工寫批寫甲辛苦。,無用例,38
悲哀,無用例,39
膽小,無用例,40
上讚,無用例,46
寂寞,無用例,47
會...,無用例,49
佇畢業典禮上，伊懷念大學的美好時光。,無用例,50
佇考場頂懸，伊顯得足自信。,無用例,53
"伊因為有良好的運氣 , 總是做事情順利。",無用例,54
得知考試失利，伊感覺誠失望。,無用例,55
咱應當尊重序大人的意見，才有禮貌。,無用例,58
因為伊才情橫溢，予眾人攏非常欣賞。,無用例,60
欲做完工課進前，伊感覺身體會當放輕鬆一下。,無用例,62
著算面對困難，伊嘛是堅持家己的信念。,無用例,63
伊因為查某囝破病而十分煩惱。,無用例,64
爭吵、仇人,無用例,72
佇咧得著第一名了後，伊足高興的。,無用例,73
伊關心爸母的身體健康，定定共問候。,無用例,77
最棒,無用例,78
伊因為思念故鄉，定定發脾氣。,無用例,79
滿足,無用例,80
困擾,無用例,81
